# Rebinned data: ./467487_SMA5p0_DMPC_Aug_RB.dat
# Original data: ./467487_SMA5p0_DMPC_Aug.dat
# q I dI
0.009888 0.013922 0.000154
0.010085 0.013577 0.000106
0.010348 0.013689 0.000103
0.010611 0.013549 0.000098
0.010874 0.013343 0.000096
0.011136 0.013185 0.000091
0.011399 0.013355 0.000088
0.011662 0.013413 0.000087
0.011925 0.013011 0.000083
0.012188 0.013053 0.000083
0.012451 0.013171 0.000082
0.012713 0.012917 0.000079
0.012976 0.012909 0.000075
0.013239 0.012793 0.000073
0.013502 0.012900 0.000072
0.013765 0.012875 0.000072
0.014028 0.012686 0.000069
0.014290 0.012633 0.000069
0.014553 0.012371 0.000067
0.014816 0.012358 0.000067
0.015079 0.012365 0.000065
0.015342 0.012264 0.000064
0.015604 0.012178 0.000063
0.015867 0.012031 0.000063
0.016196 0.011974 0.000050
0.016590 0.011826 0.000049
0.016984 0.011742 0.000049
0.017379 0.011639 0.000048
0.017773 0.011501 0.000046
0.018167 0.011426 0.000046
0.018561 0.011360 0.000045
0.018956 0.011148 0.000044
0.019350 0.011073 0.000044
0.019744 0.010911 0.000043
0.020138 0.010862 0.000043
0.020533 0.010645 0.000042
0.020927 0.010514 0.000042
0.021321 0.010491 0.000041
0.021781 0.010234 0.000035
0.022307 0.010124 0.000034
0.022832 0.009934 0.000034
0.023358 0.009671 0.000033
0.023884 0.009507 0.000033
0.024409 0.009432 0.000032
0.024935 0.009200 0.000032
0.025461 0.009046 0.000031
0.025986 0.008933 0.000031
0.026578 0.008605 0.000027
0.027235 0.008434 0.000027
0.027892 0.008191 0.000026
0.028549 0.008017 0.000026
0.029206 0.007697 0.000026
0.029863 0.007530 0.000025
0.030520 0.007313 0.000025
0.031177 0.007067 0.000025
0.031900 0.006867 0.000023
0.032688 0.006645 0.000023
0.033477 0.006370 0.000023
0.034265 0.006088 0.000023
0.035054 0.005849 0.000023
0.035842 0.005655 0.000022
0.036696 0.005417 0.000020
0.037616 0.005123 0.000019
0.038536 0.004860 0.000019
0.039456 0.004653 0.000019
0.040376 0.004380 0.000019
0.041362 0.004096 0.000017
0.042413 0.003888 0.000017
0.043464 0.003585 0.000017
0.044516 0.003407 0.000017
0.045567 0.003122 0.000017
0.046684 0.002899 0.000016
0.047867 0.002705 0.000017
0.049049 0.002482 0.000017
0.050232 0.002307 0.000017
0.051481 0.002041 0.000016
0.052795 0.001889 0.000016
0.054109 0.001685 0.000016
0.055489 0.001512 0.000015
0.056934 0.001350 0.000015
0.058380 0.001199 0.000016
0.059825 0.001032 0.000030
0.061337 0.000917 0.000015
0.062914 0.000793 0.000016
0.064491 0.000712 0.000028
0.066133 0.000614 0.000025
0.067842 0.000571 0.000032
0.069616 0.000489 0.000032
0.071455 0.000442 0.000034
0.073295 0.000437 0.000023
0.075201 0.000388 0.000051
0.077172 0.000397 0.000020
0.079209 0.000397 0.000042
0.081311 0.000428 0.000024
0.083480 0.000473 0.000048
0.085714 0.000499 0.000017
0.088014 0.000551 0.000015
0.090379 0.000584 0.000032
0.092810 0.000650 0.000015
0.095307 0.000701 0.000013
0.097870 0.000790 0.000027
0.100498 0.000848 0.000079
0.103192 0.000914 0.000011
0.106017 0.000939 0.000098
0.108908 0.000989 0.000088
0.111865 0.001029 0.000014
0.114888 0.001076 0.000011
0.117976 0.001090 0.000028
0.121196 0.001113 0.000009
0.124547 0.001133 0.000009
0.127963 0.001169 0.000011
0.131446 0.001152 0.000008
0.135060 0.001141 0.000009
0.138805 0.001151 0.000009
0.142682 0.001120 0.000007
0.146624 0.001086 0.000013
0.150632 0.001077 0.000007
0.154772 0.001022 0.000007
0.159043 0.000992 0.000010
0.163445 0.000961 0.001009
0.167979 0.000910 0.000007
0.172644 0.000851 0.000007
0.177441 0.000804 0.000020
0.182369 0.000752 0.000008
0.187494 0.000697 0.000081
0.192816 0.000633 0.000009
0.198270 0.000570 0.000155
0.203855 0.000516 0.000013
0.209572 0.000466 0.000034
0.215485 0.000402 0.000015
0.221596 0.000352 0.001313
0.227904 0.000304 0.000012
0.234409 0.000251 0.000011
0.241045 0.000226 0.000039
0.247879 0.000202 0.000053
0.254975 0.000152 0.000017
0.262269 0.000143 0.000247
0.269759 0.000120 0.000086
0.277513 0.000101 0.000027
0.285463 0.000108 0.000136
0.293611 0.000118 0.000057
0.300313 0.000100 0.000132
