# Rebinned data: ./467484_SMA2p0_DMPC_Aug_RB.dat
# Original data: ./467484_SMA2p0_DMPC_Aug.dat
# q I dI
0.009888 0.020022 0.000150
0.010085 0.019648 0.000105
0.010348 0.019442 0.000101
0.010611 0.019632 0.000097
0.010874 0.019486 0.000095
0.011136 0.019246 0.000091
0.011399 0.019138 0.000087
0.011662 0.019026 0.000085
0.011925 0.018976 0.000082
0.012188 0.018849 0.000082
0.012451 0.018483 0.000080
0.012713 0.018668 0.000077
0.012976 0.018557 0.000075
0.013239 0.018465 0.000073
0.013502 0.018514 0.000072
0.013765 0.018327 0.000070
0.014028 0.018402 0.000069
0.014290 0.018231 0.000068
0.014553 0.018077 0.000067
0.014816 0.017797 0.000066
0.015079 0.017817 0.000064
0.015342 0.017794 0.000064
0.015604 0.017665 0.000063
0.015867 0.017477 0.000062
0.016196 0.017309 0.000049
0.016590 0.017121 0.000049
0.016984 0.016986 0.000048
0.017379 0.016825 0.000047
0.017773 0.016637 0.000046
0.018167 0.016386 0.000045
0.018561 0.016277 0.000045
0.018956 0.016105 0.000044
0.019350 0.015944 0.000043
0.019744 0.015784 0.000043
0.020138 0.015588 0.000042
0.020533 0.015402 0.000042
0.020927 0.015158 0.000041
0.021321 0.014988 0.000040
0.021781 0.014868 0.000034
0.022307 0.014573 0.000034
0.022832 0.014294 0.000033
0.023358 0.014113 0.000033
0.023884 0.013800 0.000032
0.024409 0.013439 0.000032
0.024935 0.013253 0.000031
0.025461 0.013051 0.000031
0.025986 0.012753 0.000030
0.026578 0.012484 0.000027
0.027235 0.012132 0.000026
0.027892 0.011771 0.000026
0.028549 0.011484 0.000025
0.029206 0.011171 0.000025
0.029863 0.010819 0.000024
0.030520 0.010486 0.000024
0.031177 0.010151 0.000025
0.031900 0.009883 0.000022
0.032688 0.009478 0.000022
0.033477 0.009109 0.000022
0.034265 0.008743 0.000022
0.035054 0.008370 0.000022
0.035842 0.008040 0.000021
0.036696 0.007650 0.000019
0.037616 0.007253 0.000018
0.038536 0.006879 0.000018
0.039456 0.006492 0.000018
0.040376 0.006093 0.000018
0.041362 0.005734 0.000016
0.042413 0.005368 0.000016
0.043464 0.004962 0.000016
0.044516 0.004627 0.000016
0.045567 0.004292 0.000016
0.046684 0.003957 0.000015
0.047867 0.003614 0.000016
0.049049 0.003266 0.000016
0.050232 0.003008 0.000016
0.051481 0.002691 0.000015
0.052795 0.002440 0.000016
0.054109 0.002113 0.000015
0.055489 0.001922 0.000016
0.056934 0.001660 0.000014
0.058380 0.001491 0.000095
0.059825 0.001248 0.000026
0.061337 0.001114 0.000014
0.062914 0.000965 0.000018
0.064491 0.000828 0.000016
0.066133 0.000734 0.000032
0.067842 0.000642 0.000016
0.069616 0.000578 0.000028
0.071455 0.000548 0.002147
0.073295 0.000513 0.000026
0.075201 0.000560 0.000023
0.077172 0.000585 0.000031
0.079209 0.000626 0.000032
0.081311 0.000672 0.000020
0.083480 0.000768 0.000018
0.085714 0.000839 0.000011
0.088014 0.000941 0.000022
0.090379 0.001032 0.000014
0.092810 0.001146 0.000010
0.095307 0.001233 0.000011
0.097870 0.001313 0.000010
0.100498 0.001430 0.000012
0.103192 0.001509 0.000010
0.106017 0.001608 0.000010
0.108908 0.001649 0.000010
0.111865 0.001714 0.000009
0.114888 0.001769 0.000013
0.117976 0.001814 0.000008
0.121196 0.001826 0.000011
0.124547 0.001848 0.000008
0.127963 0.001831 0.000008
0.131446 0.001837 0.000007
0.135060 0.001823 0.000008
0.138805 0.001808 0.000007
0.142682 0.001761 0.000007
0.146624 0.001738 0.000007
0.150632 0.001679 0.000007
0.154772 0.001635 0.000007
0.159043 0.001567 0.000008
0.163445 0.001508 0.000007
0.167979 0.001440 0.000006
0.172644 0.001352 0.000006
0.177441 0.001260 0.000013
0.182369 0.001161 0.000006
0.187494 0.001085 0.000009
0.192816 0.000973 0.000032
0.198270 0.000887 0.000013
0.203855 0.000777 0.000176
0.209572 0.000688 0.000005
0.215485 0.000602 0.000012
0.221596 0.000518 0.000010
0.227904 0.000448 0.000008
0.234409 0.000389 0.000021
0.241045 0.000316 0.000016
0.247879 0.000273 0.000013
0.254975 0.000242 0.000017
0.262269 0.000204 0.000084
0.269759 0.000201 0.000131
0.277513 0.000174 0.000048
0.285463 0.000180 0.000081
0.293611 0.000137 0.000060
0.300313 0.000162 0.000128
