# Rebinned data: ./467482_SMA1p0_DMPC_Aug_RB.dat
# Original data: ./467482_SMA1p0_DMPC_Aug.dat
# q I dI
0.009888 0.015017 0.000142
0.010085 0.014971 0.000099
0.010348 0.014647 0.000095
0.010611 0.014824 0.000092
0.010874 0.014456 0.000090
0.011136 0.014615 0.000086
0.011399 0.014357 0.000084
0.011662 0.014282 0.000080
0.011925 0.014161 0.000078
0.012188 0.014075 0.000076
0.012451 0.014136 0.000076
0.012713 0.013852 0.000074
0.012976 0.013867 0.000071
0.013239 0.013784 0.000069
0.013502 0.013640 0.000067
0.013765 0.013552 0.000067
0.014028 0.013314 0.000064
0.014290 0.013421 0.000064
0.014553 0.013334 0.000064
0.014816 0.013159 0.000062
0.015079 0.012981 0.000060
0.015342 0.012780 0.000060
0.015604 0.012690 0.000059
0.015867 0.012783 0.000059
0.016196 0.012674 0.000047
0.016590 0.012501 0.000046
0.016984 0.012349 0.000045
0.017379 0.012192 0.000045
0.017773 0.011834 0.000043
0.018167 0.011755 0.000043
0.018561 0.011518 0.000042
0.018956 0.011347 0.000042
0.019350 0.011226 0.000041
0.019744 0.011063 0.000040
0.020138 0.010795 0.000040
0.020533 0.010763 0.000039
0.020927 0.010546 0.000039
0.021321 0.010382 0.000038
0.021781 0.010112 0.000032
0.022307 0.009950 0.000032
0.022832 0.009735 0.000031
0.023358 0.009476 0.000031
0.023884 0.009219 0.000030
0.024409 0.009010 0.000030
0.024935 0.008816 0.000029
0.025461 0.008580 0.000029
0.025986 0.008376 0.000029
0.026578 0.008143 0.000025
0.027235 0.007820 0.000025
0.027892 0.007612 0.000024
0.028549 0.007321 0.000024
0.029206 0.007041 0.000023
0.029863 0.006762 0.000023
0.030520 0.006564 0.000023
0.031177 0.006381 0.000024
0.031900 0.006030 0.000021
0.032688 0.005704 0.000021
0.033477 0.005442 0.000021
0.034265 0.005216 0.000021
0.035054 0.004910 0.000020
0.035842 0.004594 0.000020
0.036696 0.004388 0.000018
0.037616 0.004050 0.000017
0.038536 0.003812 0.000017
0.039456 0.003519 0.000017
0.040376 0.003254 0.000017
0.041362 0.003012 0.000016
0.042413 0.002799 0.000016
0.043464 0.002519 0.000016
0.044516 0.002321 0.000015
0.045567 0.002061 0.000015
0.046684 0.001901 0.000015
0.047867 0.001666 0.000015
0.049049 0.001481 0.000016
0.050232 0.001314 0.000211
0.051481 0.001148 0.000032
0.052795 0.001046 0.000015
0.054109 0.000871 0.000061
0.055489 0.000716 0.000025
0.056934 0.000603 0.000028
0.058380 0.000541 0.000017
0.059825 0.000446 0.000120
0.061337 0.000393 0.000020
0.062914 0.000354 0.000019
0.064491 0.000307 0.000160
0.066133 0.000304 0.000037
0.067842 0.000301 0.000024
0.069616 0.000324 0.000038
0.071455 0.000327 0.000052
0.073295 0.000380 0.000017
0.075201 0.000453 0.000031
0.077172 0.000496 0.000012
0.079209 0.000564 0.000020
0.081311 0.000611 0.000015
0.083480 0.000713 0.000030
0.085714 0.000777 0.000021
0.088014 0.000851 0.000012
0.090379 0.000912 0.000013
0.092810 0.000974 0.000050
0.095307 0.001068 0.000026
0.097870 0.001139 0.000028
0.100498 0.001158 0.000010
0.103192 0.001222 0.000010
0.106017 0.001265 0.000010
0.108908 0.001296 0.000011
0.111865 0.001314 0.000010
0.114888 0.001325 0.000010
0.117976 0.001358 0.000009
0.121196 0.001366 0.000009
0.124547 0.001380 0.000008
0.127963 0.001364 0.000008
0.131446 0.001370 0.000008
0.135060 0.001376 0.000007
0.138805 0.001378 0.000007
0.142682 0.001334 0.000017
0.146624 0.001301 0.000007
0.150632 0.001292 0.000006
0.154772 0.001245 0.000008
0.159043 0.001192 0.000006
0.163445 0.001133 0.000006
0.167979 0.001086 0.000006
0.172644 0.001028 0.000006
0.177441 0.000929 0.000011
0.182369 0.000850 0.000007
0.187494 0.000763 0.000020
0.192816 0.000668 0.000010
0.198270 0.000587 0.000008
0.203855 0.000510 0.000007
0.209572 0.000447 0.000009
0.215485 0.000374 0.000072
0.221596 0.000303 0.000012
0.227904 0.000252 0.000143
0.234409 0.000210 0.000047
0.241045 0.000176 0.000127
0.247879 0.000158 0.000043
0.254975 0.000136 0.000054
0.262269 0.000137 0.000021
0.269759 0.000117 0.000056
0.277513 0.000095 0.000067
0.285463 0.000121 0.000045
0.293611 0.000090 0.000070
0.300313 0.000087 0.006070
