# Rebinned data: ./467485_SMA2p5_DMPC_Aug_RB.dat
# Original data: ./467485_SMA2p5_DMPC_Aug.dat
# q I dI
0.009888 0.019141 0.000149
0.010085 0.019045 0.000103
0.010348 0.019111 0.000100
0.010611 0.019191 0.000097
0.010874 0.018886 0.000093
0.011136 0.018905 0.000089
0.011399 0.018561 0.000086
0.011662 0.018442 0.000084
0.011925 0.018444 0.000080
0.012188 0.018318 0.000080
0.012451 0.018325 0.000078
0.012713 0.018312 0.000077
0.012976 0.018004 0.000073
0.013239 0.018096 0.000072
0.013502 0.017885 0.000069
0.013765 0.017834 0.000069
0.014028 0.017763 0.000068
0.014290 0.017723 0.000066
0.014553 0.017482 0.000065
0.014816 0.017411 0.000064
0.015079 0.017380 0.000064
0.015342 0.017419 0.000063
0.015604 0.017194 0.000062
0.015867 0.017085 0.000060
0.016196 0.016888 0.000049
0.016590 0.016726 0.000048
0.016984 0.016643 0.000047
0.017379 0.016501 0.000046
0.017773 0.016241 0.000046
0.018167 0.016018 0.000045
0.018561 0.015983 0.000044
0.018956 0.015831 0.000043
0.019350 0.015592 0.000043
0.019744 0.015473 0.000042
0.020138 0.015323 0.000041
0.020533 0.015015 0.000041
0.020927 0.014856 0.000040
0.021321 0.014665 0.000040
0.021781 0.014497 0.000034
0.022307 0.014264 0.000033
0.022832 0.013978 0.000033
0.023358 0.013803 0.000032
0.023884 0.013491 0.000032
0.024409 0.013216 0.000031
0.024935 0.013029 0.000031
0.025461 0.012815 0.000031
0.025986 0.012479 0.000030
0.026578 0.012260 0.000026
0.027235 0.011918 0.000026
0.027892 0.011617 0.000025
0.028549 0.011316 0.000025
0.029206 0.010986 0.000025
0.029863 0.010646 0.000024
0.030520 0.010318 0.000024
0.031177 0.010028 0.000024
0.031900 0.009707 0.000022
0.032688 0.009370 0.000022
0.033477 0.009032 0.000022
0.034265 0.008644 0.000022
0.035054 0.008340 0.000021
0.035842 0.007931 0.000021
0.036696 0.007579 0.000018
0.037616 0.007175 0.000018
0.038536 0.006822 0.000018
0.039456 0.006497 0.000018
0.040376 0.006125 0.000017
0.041362 0.005764 0.000016
0.042413 0.005354 0.000016
0.043464 0.004996 0.000016
0.044516 0.004658 0.000016
0.045567 0.004320 0.000016
0.046684 0.003976 0.000015
0.047867 0.003649 0.000015
0.049049 0.003357 0.000016
0.050232 0.003068 0.000016
0.051481 0.002754 0.000015
0.052795 0.002465 0.000015
0.054109 0.002216 0.000015
0.055489 0.001931 0.000014
0.056934 0.001713 0.000014
0.058380 0.001468 0.000013
0.059825 0.001339 0.000016
0.061337 0.001123 0.000013
0.062914 0.000992 0.000649
0.064491 0.000867 0.000016
0.066133 0.000746 0.000059
0.067842 0.000666 0.000052
0.069616 0.000591 0.000015
0.071455 0.000547 0.000015
0.073295 0.000547 0.000073
0.075201 0.000535 0.000018
0.077172 0.000546 0.000020
0.079209 0.000575 0.000030
0.081311 0.000620 0.000038
0.083480 0.000718 0.000018
0.085714 0.000795 0.000020
0.088014 0.000883 0.000236
0.090379 0.000977 0.000112
0.092810 0.001046 0.000094
0.095307 0.001139 0.000014
0.097870 0.001241 0.000030
0.100498 0.001324 0.000009
0.103192 0.001410 0.000009
0.106017 0.001503 0.000021
0.108908 0.001543 0.000010
0.111865 0.001620 0.000009
0.114888 0.001651 0.000009
0.117976 0.001699 0.000009
0.121196 0.001719 0.000008
0.124547 0.001740 0.000008
0.127963 0.001744 0.000007
0.131446 0.001734 0.000007
0.135060 0.001720 0.000007
0.138805 0.001691 0.000011
0.142682 0.001686 0.000007
0.146624 0.001646 0.000012
0.150632 0.001599 0.000006
0.154772 0.001539 0.000041
0.159043 0.001481 0.000006
0.163445 0.001410 0.000007
0.167979 0.001353 0.000006
0.172644 0.001286 0.000010
0.177441 0.001200 0.000008
0.182369 0.001128 0.000010
0.187494 0.001041 0.000006
0.192816 0.000939 0.000023
0.198270 0.000847 0.000014
0.203855 0.000740 0.000327
0.209572 0.000663 0.000013
0.215485 0.000568 0.000081
0.221596 0.000494 0.000359
0.227904 0.000415 0.000016
0.234409 0.000350 0.000027
0.241045 0.000302 0.000030
0.247879 0.000252 0.000175
0.254975 0.000224 0.000028
0.262269 0.000191 0.000035
0.269759 0.000199 0.000164
0.277513 0.000161 0.002941
0.285463 0.000148 0.000023
0.293611 0.000159 0.000255
0.300313 0.000149 0.000178
