# Rebinned data: ./467488_SMA0p5_DMPC_Jun_RB.dat
# Original data: ./467488_SMA0p5_DMPC_Jun.dat
# q I dI
0.009888 0.015026 0.000154
0.010085 0.014785 0.000107
0.010348 0.014623 0.000102
0.010611 0.014615 0.000101
0.010874 0.014404 0.000096
0.011136 0.014304 0.000093
0.011399 0.014327 0.000089
0.011662 0.014140 0.000087
0.011925 0.014063 0.000083
0.012188 0.013927 0.000083
0.012451 0.014097 0.000081
0.012713 0.013580 0.000077
0.012976 0.013553 0.000073
0.013239 0.013589 0.000074
0.013502 0.013383 0.000072
0.013765 0.013370 0.000071
0.014028 0.013267 0.000069
0.014290 0.012929 0.000069
0.014553 0.013039 0.000067
0.014816 0.012778 0.000066
0.015079 0.012701 0.000065
0.015342 0.012455 0.000064
0.015604 0.012455 0.000062
0.015867 0.012331 0.000063
0.016196 0.012060 0.000050
0.016590 0.011897 0.000049
0.016984 0.011728 0.000048
0.017379 0.011581 0.000047
0.017773 0.011291 0.000046
0.018167 0.011196 0.000046
0.018561 0.010891 0.000044
0.018956 0.010814 0.000044
0.019350 0.010635 0.000043
0.019744 0.010476 0.000043
0.020138 0.010273 0.000042
0.020533 0.010180 0.000042
0.020927 0.009928 0.000041
0.021321 0.009716 0.000041
0.021781 0.009506 0.000034
0.022307 0.009206 0.000034
0.022832 0.009007 0.000033
0.023358 0.008835 0.000033
0.023884 0.008536 0.000032
0.024409 0.008283 0.000032
0.024935 0.008075 0.000031
0.025461 0.007837 0.000031
0.025986 0.007628 0.000030
0.026578 0.007261 0.000026
0.027235 0.007115 0.000026
0.027892 0.006842 0.000025
0.028549 0.006534 0.000025
0.029206 0.006239 0.000025
0.029863 0.006032 0.000024
0.030520 0.005745 0.000024
0.031177 0.005516 0.000025
0.031900 0.005246 0.000022
0.032688 0.004998 0.000022
0.033477 0.004701 0.000022
0.034265 0.004431 0.000022
0.035054 0.004209 0.000022
0.035842 0.003889 0.000021
0.036696 0.003710 0.000019
0.037616 0.003444 0.000018
0.038536 0.003222 0.000018
0.039456 0.002959 0.000018
0.040376 0.002712 0.000018
0.041362 0.002494 0.000017
0.042413 0.002254 0.000017
0.043464 0.002081 0.000016
0.044516 0.001821 0.000017
0.045567 0.001675 0.000017
0.046684 0.001501 0.000017
0.047867 0.001305 0.000017
0.049049 0.001122 0.000020
0.050232 0.001003 0.000017
0.051481 0.000882 0.000015
0.052795 0.000763 0.000023
0.054109 0.000680 0.000019
0.055489 0.000545 0.000027
0.056934 0.000462 0.000020
0.058380 0.000393 0.000105
0.059825 0.000318 0.000104
0.061337 0.000331 0.000023
0.062914 0.000323 0.000058
0.064491 0.000293 0.000029
0.066133 0.000296 0.000061
0.067842 0.000300 0.000026
0.069616 0.000348 0.000040
0.071455 0.000361 0.000091
0.073295 0.000410 0.000028
0.075201 0.000443 0.000027
0.077172 0.000501 0.000028
0.079209 0.000595 0.000017
0.081311 0.000621 0.000015
0.083480 0.000722 0.000014
0.085714 0.000787 0.000024
0.088014 0.000855 0.000015
0.090379 0.000904 0.000553
0.092810 0.000974 0.000027
0.095307 0.001015 0.000013
0.097870 0.001087 0.000012
0.100498 0.001124 0.000044
0.103192 0.001183 0.000040
0.106017 0.001207 0.000010
0.108908 0.001256 0.000034
0.111865 0.001266 0.000015
0.114888 0.001285 0.000010
0.117976 0.001326 0.000010
0.121196 0.001317 0.000009
0.124547 0.001324 0.000015
0.127963 0.001331 0.000015
0.131446 0.001336 0.000014
0.135060 0.001336 0.000038
0.138805 0.001315 0.000009
0.142682 0.001295 0.000007
0.146624 0.001283 0.000009
0.150632 0.001246 0.000007
0.154772 0.001190 0.000007
0.159043 0.001146 0.000007
0.163445 0.001094 0.000007
0.167979 0.001029 0.000131
0.172644 0.000950 0.000021
0.177441 0.000883 0.000006
0.182369 0.000801 0.000010
0.187494 0.000718 0.000008
0.192816 0.000638 0.000007
0.198270 0.000560 0.000010
0.203855 0.000489 0.000016
0.209572 0.000415 0.000033
0.215485 0.000356 0.000014
0.221596 0.000289 0.000015
0.227904 0.000240 0.000044
0.234409 0.000199 0.000030
0.241045 0.000165 0.000145
0.247879 0.000150 0.000092
0.254975 0.000111 0.000063
0.262269 0.000109 0.000028
0.269759 0.000105 0.001274
0.277513 0.000096 0.000043
0.285463 0.000096 0.000038
0.293611 0.000087 0.000096
0.300313 0.000093 0.000207
