# Rebinned data: ./467489_SMA1p0_DMPC_Jun_RB.dat
# Original data: ./467489_SMA1p0_DMPC_Jun.dat
# q I dI
0.009888 0.001614 0.000328
0.010085 0.001599 0.000195
0.010348 0.001568 0.000079
0.010611 0.001538 0.000159
0.010874 0.001652 0.000071
0.011136 0.001707 0.000205
0.011399 0.001690 0.000065
0.011662 0.001706 0.000056
0.011925 0.001773 0.000151
0.012188 0.001608 0.000247
0.012451 0.001618 0.000066
0.012713 0.001555 0.000217
0.012976 0.001682 0.000050
0.013239 0.001515 0.000090
0.013502 0.001658 0.000043
0.013765 0.001600 0.000056
0.014028 0.001645 0.000194
0.014290 0.001675 0.000050
0.014553 0.001609 0.000102
0.014816 0.001599 0.000046
0.015079 0.001580 0.000046
0.015342 0.001566 0.000074
0.015604 0.001667 0.000139
0.015867 0.001522 0.000045
0.016196 0.001528 0.000039
0.016590 0.001487 0.000369
0.016984 0.001532 0.000032
0.017379 0.001559 0.000038
0.017773 0.001549 0.000128
0.018167 0.001534 0.000955
0.018561 0.001530 0.000133
0.018956 0.001507 0.000038
0.019350 0.001477 0.000054
0.019744 0.001389 0.000045
0.020138 0.001438 0.000042
0.020533 0.001472 0.000031
0.020927 0.001427 0.000037
0.021321 0.001395 0.000219
0.021781 0.001399 0.000038
0.022307 0.001357 0.000033
0.022832 0.001364 0.000023
0.023358 0.001271 0.000042
0.023884 0.001303 0.000023
0.024409 0.001271 0.000031
0.024935 0.001251 0.000027
0.025461 0.001241 0.000029
0.025986 0.001249 0.000069
0.026578 0.001187 0.000019
0.027235 0.001133 0.000241
0.027892 0.001122 0.000064
0.028549 0.001093 0.000036
0.029206 0.001127 0.000018
0.029863 0.001045 0.000024
0.030520 0.001010 0.000029
0.031177 0.000986 0.000047
0.031900 0.000976 0.000046
0.032688 0.000923 0.000132
0.033477 0.000865 0.000026
0.034265 0.000847 0.000022
0.035054 0.000823 0.000019
0.035842 0.000769 0.000015
0.036696 0.000768 0.000129
0.037616 0.000706 0.000074
0.038536 0.000661 0.000014
0.039456 0.000633 0.000015
0.040376 0.000629 0.000023
0.041362 0.000579 0.000088
0.042413 0.000587 0.000036
0.043464 0.000517 0.000155
0.044516 0.000505 0.000078
0.045567 0.000431 0.000027
0.046684 0.000403 0.000021
0.047867 0.000392 0.000055
0.049049 0.000386 0.000015
0.050232 0.000342 0.000015
0.051481 0.000300 0.000018
0.052795 0.000273 0.000017
0.054109 0.000244 0.000033
0.055489 0.000202 0.000021
0.056934 0.000198 0.000022
0.058380 0.000182 0.000618
0.059825 0.000165 0.000026
0.061337 0.000163 0.000078
0.062914 0.000142 0.000017
0.064491 0.000124 0.000029
0.066133 0.000141 0.000045
0.067842 0.000063 0.000149
0.069616 0.000067 0.000017
0.071455 0.000094 0.000019
0.073295 0.000036 0.000199
0.075201 0.000048 0.000028
0.077172 0.000067 0.000034
0.079209 0.000060 0.000020
0.081311 0.000073 0.000030
0.083480 0.000049 0.000032
0.085714 0.000072 0.000195
0.088014 0.000058 0.000229
0.090379 0.000069 0.000385
0.092810 0.000089 0.000050
0.095307 0.000104 0.000022
0.097870 0.000110 0.000223
0.100498 0.000108 0.000013
0.103192 0.000139 0.000051
0.106017 0.000131 0.000016
0.108908 0.000136 0.000013
0.111865 0.000134 0.000030
0.114888 0.000141 0.000023
0.117976 0.000155 0.000015
0.121196 0.000151 0.000010
0.124547 0.000147 0.000031
0.127963 0.000143 0.000017
0.131446 0.000153 0.000007
0.135060 0.000155 0.000018
0.138805 0.000145 0.000027
0.142682 0.000150 0.000053
0.146624 0.000140 0.000018
0.150632 0.000140 0.000010
0.154772 0.000139 0.000016
0.159043 0.000128 0.000011
0.163445 0.000120 0.000057
0.167979 0.000113 0.000008
0.172644 0.000106 0.000018
0.177441 0.000116 0.000015
0.182369 0.000098 0.000064
0.187494 0.000102 0.000040
0.192816 0.000088 0.000026
0.198270 0.000074 0.000053
0.203855 0.000063 0.000013
0.209572 0.000051 0.000014
0.215485 0.000039 0.000017
0.221596 0.000037 0.000019
0.227904 0.000036 0.000035
0.234409 0.000036 0.000015
0.241045 0.000035 0.000062
0.247879 0.000026 0.000008
0.254975 0.000018 0.000028
0.262269 0.000025 0.000011
0.269759 0.000021 0.000182
0.277513 -0.000002 0.000076
0.285463 0.000015 0.000016
0.293611 0.000016 0.000020
0.300313 0.000010 0.000025
