# Rebinned data: ./467490_SMA1p5_DMPC_Jun_RB.dat
# Original data: ./467490_SMA1p5_DMPC_Jun.dat
# q I dI
0.009888 0.016210 0.000144
0.010085 0.016184 0.000099
0.010348 0.016010 0.000094
0.010611 0.016073 0.000093
0.010874 0.016096 0.000090
0.011136 0.015984 0.000086
0.011399 0.015942 0.000084
0.011662 0.015911 0.000082
0.011925 0.015736 0.000077
0.012188 0.015669 0.000077
0.012451 0.015634 0.000076
0.012713 0.015462 0.000073
0.012976 0.015231 0.000071
0.013239 0.015274 0.000069
0.013502 0.015226 0.000067
0.013765 0.014953 0.000066
0.014028 0.014986 0.000065
0.014290 0.014947 0.000064
0.014553 0.014841 0.000063
0.014816 0.014858 0.000063
0.015079 0.014687 0.000061
0.015342 0.014472 0.000060
0.015604 0.014613 0.000060
0.015867 0.014286 0.000058
0.016196 0.014335 0.000047
0.016590 0.014064 0.000046
0.016984 0.013897 0.000045
0.017379 0.013697 0.000044
0.017773 0.013589 0.000044
0.018167 0.013409 0.000043
0.018561 0.013398 0.000043
0.018956 0.013081 0.000042
0.019350 0.012874 0.000041
0.019744 0.012846 0.000040
0.020138 0.012553 0.000040
0.020533 0.012440 0.000039
0.020927 0.012247 0.000039
0.021321 0.012080 0.000038
0.021781 0.011902 0.000032
0.022307 0.011634 0.000032
0.022832 0.011403 0.000031
0.023358 0.011159 0.000031
0.023884 0.010919 0.000030
0.024409 0.010686 0.000030
0.024935 0.010499 0.000029
0.025461 0.010195 0.000029
0.025986 0.009962 0.000029
0.026578 0.009741 0.000025
0.027235 0.009420 0.000025
0.027892 0.009170 0.000024
0.028549 0.008860 0.000024
0.029206 0.008591 0.000023
0.029863 0.008237 0.000023
0.030520 0.007943 0.000023
0.031177 0.007714 0.000023
0.031900 0.007399 0.000021
0.032688 0.007103 0.000021
0.033477 0.006803 0.000021
0.034265 0.006442 0.000021
0.035054 0.006179 0.000021
0.035842 0.005823 0.000020
0.036696 0.005514 0.000018
0.037616 0.005244 0.000017
0.038536 0.004899 0.000017
0.039456 0.004578 0.000017
0.040376 0.004282 0.000017
0.041362 0.003989 0.000016
0.042413 0.003666 0.000015
0.043464 0.003375 0.000015
0.044516 0.003092 0.000015
0.045567 0.002818 0.000015
0.046684 0.002550 0.000015
0.047867 0.002300 0.000015
0.049049 0.002100 0.000015
0.050232 0.001857 0.000028
0.051481 0.001654 0.000015
0.052795 0.001474 0.000015
0.054109 0.001247 0.000014
0.055489 0.001077 0.000019
0.056934 0.000956 0.000029
0.058380 0.000783 0.000224
0.059825 0.000678 0.000019
0.061337 0.000583 0.000017
0.062914 0.000507 0.000019
0.064491 0.000465 0.000026
0.066133 0.000410 0.000073
0.067842 0.000375 0.000018
0.069616 0.000405 0.000029
0.071455 0.000402 0.000018
0.073295 0.000442 0.000027
0.075201 0.000479 0.000157
0.077172 0.000515 0.003141
0.079209 0.000585 0.000190
0.081311 0.000678 0.000020
0.083480 0.000745 0.000107
0.085714 0.000814 0.000011
0.088014 0.000921 0.000020
0.090379 0.001003 0.000013
0.092810 0.001075 0.000012
0.095307 0.001155 0.000078
0.097870 0.001233 0.000019
0.100498 0.001312 0.000009
0.103192 0.001322 0.000011
0.106017 0.001410 0.000010
0.108908 0.001451 0.000032
0.111865 0.001492 0.000011
0.114888 0.001531 0.000010
0.117976 0.001530 0.000008
0.121196 0.001569 0.000008
0.124547 0.001544 0.000008
0.127963 0.001552 0.000017
0.131446 0.001535 0.000008
0.135060 0.001522 0.000024
0.138805 0.001531 0.000007
0.142682 0.001495 0.000011
0.146624 0.001462 0.000009
0.150632 0.001437 0.000010
0.154772 0.001392 0.000008
0.159043 0.001347 0.000006
0.163445 0.001273 0.000006
0.167979 0.001219 0.000009
0.172644 0.001155 0.000099
0.177441 0.001072 0.000007
0.182369 0.000976 0.000014
0.187494 0.000888 0.000006
0.192816 0.000798 0.000008
0.198270 0.000700 0.000018
0.203855 0.000625 0.000009
0.209572 0.000536 0.000016
0.215485 0.000454 0.000010
0.221596 0.000384 0.000018
0.227904 0.000324 0.000318
0.234409 0.000272 0.000028
0.241045 0.000225 0.000029
0.247879 0.000197 0.000019
0.254975 0.000168 0.000062
0.262269 0.000160 0.000577
0.269759 0.000142 0.000161
0.277513 0.000130 0.000026
0.285463 0.000140 0.000052
0.293611 0.000102 0.000048
0.300313 0.000107 0.000167
