# Rebinned data: ./467492_SMA2p5_DMPC_Jun_RB.dat
# Original data: ./467492_SMA2p5_DMPC_Jun.dat
# q I dI
0.009888 0.011167 0.000176
0.010085 0.011416 0.000121
0.010348 0.011095 0.000116
0.010611 0.011132 0.000113
0.010874 0.010885 0.000109
0.011136 0.010818 0.000104
0.011399 0.010949 0.000101
0.011662 0.010855 0.000098
0.011925 0.010792 0.000094
0.012188 0.010777 0.000094
0.012451 0.010666 0.000091
0.012713 0.010710 0.000089
0.012976 0.010389 0.000085
0.013239 0.010601 0.000083
0.013502 0.010548 0.000081
0.013765 0.010491 0.000081
0.014028 0.010531 0.000079
0.014290 0.010261 0.000077
0.014553 0.010161 0.000077
0.014816 0.010227 0.000075
0.015079 0.010110 0.000073
0.015342 0.010084 0.000072
0.015604 0.010107 0.000072
0.015867 0.010103 0.000071
0.016196 0.009900 0.000056
0.016590 0.009682 0.000055
0.016984 0.009687 0.000055
0.017379 0.009644 0.000053
0.017773 0.009621 0.000053
0.018167 0.009481 0.000052
0.018561 0.009362 0.000051
0.018956 0.009174 0.000050
0.019350 0.009202 0.000049
0.019744 0.009105 0.000049
0.020138 0.008951 0.000048
0.020533 0.008758 0.000047
0.020927 0.008767 0.000047
0.021321 0.008743 0.000046
0.021781 0.008457 0.000039
0.022307 0.008385 0.000039
0.022832 0.008207 0.000038
0.023358 0.008047 0.000038
0.023884 0.007858 0.000037
0.024409 0.007788 0.000036
0.024935 0.007657 0.000036
0.025461 0.007450 0.000036
0.025986 0.007339 0.000035
0.026578 0.007213 0.000031
0.027235 0.006983 0.000030
0.027892 0.006836 0.000030
0.028549 0.006529 0.000029
0.029206 0.006438 0.000029
0.029863 0.006241 0.000029
0.030520 0.005961 0.000029
0.031177 0.005817 0.000029
0.031900 0.005674 0.000026
0.032688 0.005464 0.000026
0.033477 0.005268 0.000026
0.034265 0.005037 0.000026
0.035054 0.004824 0.000026
0.035842 0.004626 0.000024
0.036696 0.004425 0.000022
0.037616 0.004228 0.000021
0.038536 0.003955 0.000021
0.039456 0.003769 0.000021
0.040376 0.003515 0.000021
0.041362 0.003305 0.000019
0.042413 0.003101 0.000019
0.043464 0.002876 0.000019
0.044516 0.002650 0.000019
0.045567 0.002433 0.000019
0.046684 0.002266 0.000019
0.047867 0.002040 0.000019
0.049049 0.001912 0.000019
0.050232 0.001726 0.000019
0.051481 0.001596 0.000018
0.052795 0.001397 0.000018
0.054109 0.001248 0.000018
0.055489 0.001095 0.000017
0.056934 0.000974 0.000017
0.058380 0.000811 0.000017
0.059825 0.000742 0.000070
0.061337 0.000604 0.000020
0.062914 0.000582 0.000016
0.064491 0.000450 0.000797
0.066133 0.000415 0.000045
0.067842 0.000349 0.000029
0.069616 0.000297 0.000016
0.071455 0.000290 0.000046
0.073295 0.000279 0.000026
0.075201 0.000305 0.000067
0.077172 0.000311 0.000040
0.079209 0.000354 0.000039
0.081311 0.000376 0.000022
0.083480 0.000418 0.000014
0.085714 0.000435 0.000045
0.088014 0.000506 0.000036
0.090379 0.000580 0.000049
0.092810 0.000662 0.000510
0.095307 0.000719 0.000014
0.097870 0.000758 0.000012
0.100498 0.000827 0.000016
0.103192 0.000874 0.000011
0.106017 0.000905 0.000012
0.108908 0.000976 0.000013
0.111865 0.000987 0.000011
0.114888 0.001014 0.000011
0.117976 0.001040 0.000010
0.121196 0.001050 0.000010
0.124547 0.001068 0.000010
0.127963 0.001075 0.000009
0.131446 0.001067 0.000026
0.135060 0.001048 0.000009
0.138805 0.001044 0.000008
0.142682 0.001024 0.000008
0.146624 0.000998 0.000008
0.150632 0.000955 0.000008
0.154772 0.000933 0.000009
0.159043 0.000904 0.000008
0.163445 0.000864 0.000007
0.167979 0.000817 0.000007
0.172644 0.000784 0.000007
0.177441 0.000739 0.000007
0.182369 0.000678 0.000786
0.187494 0.000616 0.000024
0.192816 0.000566 0.000012
0.198270 0.000506 0.000010
0.203855 0.000465 0.000006
0.209572 0.000399 0.000007
0.215485 0.000343 0.000014
0.221596 0.000298 0.000021
0.227904 0.000252 0.000010
0.234409 0.000211 0.000012
0.241045 0.000184 0.000094
0.247879 0.000156 0.000041
0.254975 0.000136 0.000582
0.262269 0.000116 0.000018
0.269759 0.000103 0.000023
0.277513 0.000104 0.000048
0.285463 0.000111 0.000029
0.293611 0.000090 0.000088
0.300313 0.000100 0.000103
