# Rebinned data: ./467493_SMA3p0_DMPC_Jun_RB.dat
# Original data: ./467493_SMA3p0_DMPC_Jun.dat
# q I dI
0.009888 0.011843 0.000179
0.010085 0.011680 0.000125
0.010348 0.011523 0.000119
0.010611 0.011623 0.000117
0.010874 0.011499 0.000113
0.011136 0.011382 0.000107
0.011399 0.011541 0.000103
0.011662 0.011260 0.000101
0.011925 0.011204 0.000098
0.012188 0.011407 0.000097
0.012451 0.010913 0.000093
0.012713 0.011236 0.000092
0.012976 0.011046 0.000089
0.013239 0.011167 0.000086
0.013502 0.011113 0.000084
0.013765 0.011071 0.000083
0.014028 0.010844 0.000081
0.014290 0.010772 0.000079
0.014553 0.010830 0.000079
0.014816 0.010589 0.000077
0.015079 0.010505 0.000075
0.015342 0.010473 0.000074
0.015604 0.010590 0.000074
0.015867 0.010342 0.000073
0.016196 0.010273 0.000058
0.016590 0.010254 0.000057
0.016984 0.010154 0.000056
0.017379 0.009983 0.000055
0.017773 0.009849 0.000054
0.018167 0.009929 0.000053
0.018561 0.009890 0.000053
0.018956 0.009691 0.000052
0.019350 0.009602 0.000051
0.019744 0.009458 0.000051
0.020138 0.009351 0.000049
0.020533 0.009190 0.000048
0.020927 0.009142 0.000048
0.021321 0.009030 0.000048
0.021781 0.008949 0.000041
0.022307 0.008671 0.000039
0.022832 0.008647 0.000039
0.023358 0.008516 0.000039
0.023884 0.008361 0.000038
0.024409 0.008183 0.000037
0.024935 0.008046 0.000037
0.025461 0.007873 0.000036
0.025986 0.007694 0.000036
0.026578 0.007596 0.000031
0.027235 0.007347 0.000031
0.027892 0.007258 0.000031
0.028549 0.007071 0.000030
0.029206 0.006801 0.000030
0.029863 0.006603 0.000029
0.030520 0.006461 0.000030
0.031177 0.006267 0.000030
0.031900 0.006067 0.000027
0.032688 0.005859 0.000026
0.033477 0.005634 0.000027
0.034265 0.005500 0.000026
0.035054 0.005258 0.000026
0.035842 0.004955 0.000025
0.036696 0.004810 0.000023
0.037616 0.004545 0.000022
0.038536 0.004338 0.000022
0.039456 0.004145 0.000022
0.040376 0.003868 0.000021
0.041362 0.003674 0.000020
0.042413 0.003458 0.000020
0.043464 0.003206 0.000020
0.044516 0.002974 0.000020
0.045567 0.002821 0.000020
0.046684 0.002628 0.000019
0.047867 0.002418 0.000019
0.049049 0.002164 0.000019
0.050232 0.002025 0.000020
0.051481 0.001851 0.000019
0.052795 0.001646 0.000019
0.054109 0.001538 0.000019
0.055489 0.001313 0.000018
0.056934 0.001194 0.000018
0.058380 0.001010 0.000018
0.059825 0.000924 0.000019
0.061337 0.000826 0.000047
0.062914 0.000668 0.000019
0.064491 0.000580 0.000019
0.066133 0.000564 0.000031
0.067842 0.000441 0.000047
0.069616 0.000423 0.000023
0.071455 0.000377 0.000028
0.073295 0.000340 0.000194
0.075201 0.000330 0.000038
0.077172 0.000343 0.000026
0.079209 0.000339 0.000066
0.081311 0.000415 0.000020
0.083480 0.000419 0.000082
0.085714 0.000450 0.000111
0.088014 0.000451 0.000024
0.090379 0.000538 0.000015
0.092810 0.000608 0.000033
0.095307 0.000652 0.000015
0.097870 0.000715 0.000027
0.100498 0.000799 0.000014
0.103192 0.000836 0.000011
0.106017 0.000883 0.000013
0.108908 0.000936 0.000013
0.111865 0.000957 0.000150
0.114888 0.001029 0.000013
0.117976 0.001047 0.000011
0.121196 0.001046 0.000010
0.124547 0.001049 0.000010
0.127963 0.001086 0.000010
0.131446 0.001063 0.000009
0.135060 0.001073 0.000010
0.138805 0.001042 0.000015
0.142682 0.001033 0.000012
0.146624 0.001017 0.000010
0.150632 0.000970 0.000009
0.154772 0.000944 0.000014
0.159043 0.000925 0.000008
0.163445 0.000861 0.000008
0.167979 0.000811 0.000008
0.172644 0.000789 0.000078
0.177441 0.000739 0.000008
0.182369 0.000672 0.000008
0.187494 0.000624 0.000067
0.192816 0.000578 0.000008
0.198270 0.000537 0.000011
0.203855 0.000451 0.000015
0.209572 0.000398 0.000013
0.215485 0.000368 0.000012
0.221596 0.000311 0.000017
0.227904 0.000261 0.000151
0.234409 0.000227 0.000091
0.241045 0.000185 0.000080
0.247879 0.000159 0.000055
0.254975 0.000144 0.000187
0.262269 0.000143 0.000032
0.269759 0.000116 0.000045
0.277513 0.000098 0.000055
0.285463 0.000106 0.000076
0.293611 0.000089 0.000049
0.300313 0.000082 0.000104
