# Rebinned data: 467462_SMA_3prc_RB.dat
# Original data: 467462_SMA_3prc.dat
# q I dI
0.008574 0.159287 0.004866
0.008771 0.156572 0.003350
0.009034 0.157687 0.003261
0.009297 0.155930 0.003225
0.009559 0.155095 0.003137
0.009822 0.156796 0.003056
0.010085 0.156701 0.002994
0.010348 0.157290 0.002920
0.010611 0.156200 0.002848
0.010874 0.155191 0.002770
0.011136 0.156364 0.002684
0.011399 0.155530 0.002596
0.011662 0.155769 0.002560
0.011925 0.154973 0.002477
0.012188 0.155133 0.002473
0.012451 0.154915 0.002428
0.012713 0.153368 0.002350
0.012976 0.154059 0.002257
0.013239 0.154594 0.002232
0.013502 0.154051 0.002185
0.013765 0.154042 0.002171
0.014028 0.153879 0.002114
0.014290 0.153271 0.002101
0.014553 0.153554 0.002075
0.014882 0.153319 0.001663
0.015276 0.153744 0.001637
0.015670 0.153633 0.001606
0.016064 0.153111 0.001584
0.016459 0.153318 0.001560
0.016853 0.152940 0.001532
0.017247 0.153250 0.001515
0.017641 0.153309 0.001491
0.018036 0.152142 0.001471
0.018430 0.152116 0.001453
0.018824 0.152559 0.001438
0.019218 0.151288 0.001415
0.019613 0.152311 0.001403
0.020007 0.151944 0.001382
0.020467 0.151720 0.001182
0.020992 0.151328 0.001164
0.021518 0.150706 0.001145
0.022044 0.151155 0.001132
0.022569 0.150897 0.001117
0.023095 0.150289 0.001103
0.023621 0.149986 0.001088
0.024146 0.149809 0.001073
0.024672 0.149187 0.001062
0.025263 0.149054 0.000936
0.025920 0.148421 0.000923
0.026578 0.148462 0.000908
0.027235 0.148170 0.000896
0.027892 0.147528 0.000885
0.028549 0.147344 0.000874
0.029206 0.146838 0.000861
0.029863 0.146623 0.000851
0.030586 0.145170 0.000780
0.031374 0.145042 0.000788
0.032163 0.144828 0.000789
0.032951 0.143726 0.000786
0.033740 0.143992 0.000784
0.034528 0.143209 0.000781
0.035382 0.141958 0.000707
0.036302 0.141410 0.000681
0.037222 0.141145 0.000665
0.038142 0.140593 0.000652
0.039062 0.139020 0.000645
0.040047 0.138561 0.000607
0.041099 0.137678 0.000603
0.042150 0.136758 0.000601
0.043201 0.135873 0.000596
0.044253 0.135013 0.000593
0.045370 0.133149 0.000558
0.046552 0.132303 0.000574
0.047735 0.131180 0.000583
0.048918 0.130238 0.000588
0.050166 0.129091 0.000561
0.051481 0.127593 0.000563
0.052795 0.126244 0.000565
0.054175 0.124623 0.000539
0.055620 0.123292 0.000536
0.057066 0.121686 0.000532
0.058511 0.119349 0.000529
0.060022 0.117710 0.000505
0.061599 0.115850 0.000500
0.063176 0.113953 0.000495
0.064819 0.111823 0.000470
0.066527 0.109752 0.000464
0.068302 0.107381 0.000441
0.070141 0.104916 0.000434
0.071981 0.102569 0.000429
0.073887 0.099783 0.000408
0.075858 0.097216 0.000402
0.077895 0.094249 0.000383
0.079997 0.091330 0.000376
0.082166 0.088366 0.000359
0.084400 0.085454 0.000352
0.086699 0.082263 0.000336
0.089065 0.078989 0.000329
0.091496 0.075924 0.000314
0.093993 0.072103 0.000320
0.096556 0.069018 0.000301
0.099184 0.066083 0.000291
0.101878 0.062612 0.000277
0.104703 0.059252 0.000271
0.107594 0.056034 0.000288
0.110551 0.052727 0.000273
0.113574 0.049703 0.000256
0.116662 0.046463 0.000238
0.119882 0.043492 0.000224
0.123233 0.040579 0.000214
0.126649 0.037735 0.000209
0.130132 0.034894 0.000200
0.133746 0.032307 0.000191
0.137491 0.029727 0.000184
0.141368 0.027432 0.000176
0.145310 0.025122 0.000172
0.149318 0.023031 0.000166
0.153458 0.021130 0.000160
0.157729 0.019156 0.000154
0.162131 0.017531 0.000149
0.166665 0.015920 0.000144
0.171330 0.014539 0.000139
0.176127 0.013254 0.000135
0.181055 0.012116 0.000141
0.186180 0.011056 0.000134
0.191502 0.010053 0.000125
0.196956 0.009262 0.000120
0.202541 0.008464 0.000117
0.208257 0.007828 0.000114
0.214171 0.007264 0.000109
0.220282 0.006799 0.000106
0.226590 0.006471 0.000103
0.233095 0.006107 0.000104
0.239731 0.005801 0.000110
0.246565 0.005560 0.000110
0.253661 0.005427 0.000116
0.260954 0.005316 0.000133
0.268445 0.005173 0.000142
0.276198 0.005025 0.000151
0.284149 0.004942 0.000163
0.292297 0.004943 0.000174
0.300707 0.004776 0.000186
0.309381 0.004747 0.000208
0.318317 0.004757 0.000241
0.327516 0.004728 0.000302
0.336123 0.004451 0.000501
