# Rebinned data: 467463_SMA_2p5prc_RB.dat
# Original data: 467463_SMA_2p5prc.dat
# q I dI
0.008574 0.134994 0.004668
0.008771 0.132540 0.003209
0.009034 0.134144 0.003123
0.009297 0.132935 0.003090
0.009559 0.133255 0.003012
0.009822 0.132690 0.002917
0.010085 0.133423 0.002861
0.010348 0.132862 0.002781
0.010611 0.132531 0.002714
0.010874 0.131918 0.002640
0.011136 0.132519 0.002553
0.011399 0.131987 0.002469
0.011662 0.130713 0.002425
0.011925 0.131576 0.002353
0.012188 0.131849 0.002350
0.012451 0.132097 0.002310
0.012713 0.130932 0.002237
0.012976 0.130671 0.002144
0.013239 0.129944 0.002113
0.013502 0.131112 0.002077
0.013765 0.130922 0.002061
0.014028 0.130983 0.002007
0.014290 0.130042 0.001994
0.014553 0.130410 0.001969
0.014882 0.130048 0.001577
0.015276 0.129778 0.001549
0.015670 0.129880 0.001520
0.016064 0.129366 0.001499
0.016459 0.129663 0.001477
0.016853 0.129833 0.001452
0.017247 0.128662 0.001431
0.017641 0.128807 0.001408
0.018036 0.128698 0.001392
0.018430 0.128701 0.001375
0.018824 0.127806 0.001356
0.019218 0.128267 0.001340
0.019613 0.128048 0.001324
0.020007 0.128031 0.001305
0.020467 0.127851 0.001116
0.020992 0.127416 0.001099
0.021518 0.127402 0.001083
0.022044 0.127240 0.001069
0.022569 0.126887 0.001054
0.023095 0.126623 0.001041
0.023621 0.126025 0.001026
0.024146 0.125889 0.001012
0.024672 0.125496 0.001003
0.025263 0.124982 0.000882
0.025920 0.124559 0.000871
0.026578 0.124249 0.000856
0.027235 0.123871 0.000844
0.027892 0.123087 0.000833
0.028549 0.122983 0.000822
0.029206 0.122921 0.000812
0.029863 0.121931 0.000800
0.030586 0.120883 0.000734
0.031374 0.120889 0.000742
0.032163 0.120346 0.000741
0.032951 0.119910 0.000740
0.033740 0.119481 0.000737
0.034528 0.118470 0.000733
0.035382 0.117769 0.000665
0.036302 0.116915 0.000639
0.037222 0.117142 0.000625
0.038142 0.115711 0.000611
0.039062 0.114663 0.000605
0.040047 0.114208 0.000570
0.041099 0.113309 0.000565
0.042150 0.112374 0.000563
0.043201 0.111768 0.000559
0.044253 0.110260 0.000555
0.045370 0.109074 0.000523
0.046552 0.108288 0.000538
0.047735 0.107200 0.000546
0.048918 0.105870 0.000550
0.050166 0.104758 0.000524
0.051481 0.103587 0.000526
0.052795 0.102214 0.000528
0.054175 0.100981 0.000504
0.055620 0.099400 0.000501
0.057066 0.097870 0.000496
0.058511 0.096154 0.000495
0.060022 0.094366 0.000471
0.061599 0.093043 0.000467
0.063176 0.090954 0.000462
0.064819 0.089296 0.000439
0.066527 0.087159 0.000433
0.068302 0.085368 0.000412
0.070141 0.083204 0.000405
0.071981 0.081036 0.000400
0.073887 0.078911 0.000381
0.075858 0.076439 0.000375
0.077895 0.074125 0.000357
0.079997 0.071818 0.000351
0.082166 0.069302 0.000335
0.084400 0.066978 0.000329
0.086699 0.064420 0.000314
0.089065 0.061653 0.000309
0.091496 0.059213 0.000295
0.093993 0.056258 0.000300
0.096556 0.053578 0.000283
0.099184 0.051290 0.000274
0.101878 0.048732 0.000262
0.104703 0.045971 0.000256
0.107594 0.043472 0.000273
0.110551 0.041031 0.000259
0.113574 0.038604 0.000243
0.116662 0.036091 0.000227
0.119882 0.033802 0.000214
0.123233 0.031498 0.000205
0.126649 0.029310 0.000201
0.130132 0.027222 0.000192
0.133746 0.025204 0.000185
0.137491 0.023212 0.000178
0.141368 0.021337 0.000171
0.145310 0.019660 0.000168
0.149318 0.018021 0.000162
0.153458 0.016536 0.000156
0.157729 0.015055 0.000151
0.162131 0.013765 0.000146
0.166665 0.012530 0.000142
0.171330 0.011459 0.000137
0.176127 0.010383 0.000133
0.181055 0.009536 0.000140
0.186180 0.008720 0.000133
0.191502 0.007944 0.000123
0.196956 0.007344 0.000119
0.202541 0.006731 0.000116
0.208257 0.006227 0.000113
0.214171 0.005763 0.000109
0.220282 0.005423 0.000106
0.226590 0.005135 0.000102
0.233095 0.004850 0.000104
0.239731 0.004616 0.000110
0.246565 0.004442 0.000110
0.253661 0.004312 0.000116
0.260954 0.004203 0.000133
0.268445 0.004080 0.000142
0.276198 0.004037 0.000150
0.284149 0.003902 0.000162
0.292297 0.003957 0.000174
0.300707 0.003797 0.000186
0.309381 0.003812 0.000207
0.318317 0.003774 0.000240
0.327516 0.003682 0.000301
0.336123 0.003613 0.000500
