# Rebinned data: 467464_SMA_2prc_RB.dat
# Original data: 467464_SMA_2prc.dat
# q I dI
0.008574 0.118348 0.004529
0.008771 0.118129 0.003123
0.009034 0.118894 0.003031
0.009297 0.119015 0.003007
0.009559 0.117580 0.002920
0.009822 0.118211 0.002833
0.010085 0.116736 0.002762
0.010348 0.116983 0.002688
0.010611 0.117341 0.002626
0.010874 0.116745 0.002553
0.011136 0.116237 0.002460
0.011399 0.116292 0.002382
0.011662 0.115604 0.002341
0.011925 0.115980 0.002269
0.012188 0.116486 0.002266
0.012451 0.115627 0.002222
0.012713 0.117376 0.002167
0.012976 0.115155 0.002066
0.013239 0.116056 0.002045
0.013502 0.115456 0.002000
0.013765 0.114711 0.001982
0.014028 0.115401 0.001933
0.014290 0.114991 0.001922
0.014553 0.116336 0.001902
0.014882 0.114656 0.001518
0.015276 0.114569 0.001492
0.015670 0.115674 0.001467
0.016064 0.113662 0.001441
0.016459 0.115099 0.001424
0.016853 0.114244 0.001395
0.017247 0.113791 0.001378
0.017641 0.113852 0.001355
0.018036 0.113095 0.001337
0.018430 0.113285 0.001321
0.018824 0.113100 0.001306
0.019218 0.112508 0.001287
0.019613 0.113570 0.001275
0.020007 0.112763 0.001255
0.020467 0.112789 0.001074
0.020992 0.112393 0.001057
0.021518 0.112145 0.001041
0.022044 0.112231 0.001028
0.022569 0.111461 0.001012
0.023095 0.111218 0.001000
0.023621 0.110874 0.000986
0.024146 0.111013 0.000973
0.024672 0.110403 0.000963
0.025263 0.109817 0.000847
0.025920 0.109880 0.000837
0.026578 0.109192 0.000822
0.027235 0.109038 0.000811
0.027892 0.108610 0.000801
0.028549 0.108173 0.000790
0.029206 0.107850 0.000779
0.029863 0.107513 0.000769
0.030586 0.106516 0.000706
0.031374 0.106175 0.000712
0.032163 0.105558 0.000712
0.032951 0.104911 0.000710
0.033740 0.104926 0.000708
0.034528 0.103957 0.000704
0.035382 0.103040 0.000638
0.036302 0.102667 0.000614
0.037222 0.101953 0.000599
0.038142 0.101123 0.000587
0.039062 0.100257 0.000581
0.040047 0.099446 0.000546
0.041099 0.098984 0.000543
0.042150 0.097761 0.000540
0.043201 0.097384 0.000536
0.044253 0.096025 0.000532
0.045370 0.094853 0.000501
0.046552 0.093976 0.000516
0.047735 0.093016 0.000524
0.048918 0.091985 0.000527
0.050166 0.090857 0.000503
0.051481 0.089664 0.000504
0.052795 0.088328 0.000506
0.054175 0.087193 0.000483
0.055620 0.086003 0.000480
0.057066 0.084444 0.000476
0.058511 0.083061 0.000474
0.060022 0.081409 0.000452
0.061599 0.079704 0.000447
0.063176 0.078384 0.000443
0.064819 0.076605 0.000420
0.066527 0.074784 0.000415
0.068302 0.073334 0.000395
0.070141 0.071244 0.000389
0.071981 0.069164 0.000384
0.073887 0.067592 0.000366
0.075858 0.065473 0.000360
0.077895 0.063416 0.000344
0.079997 0.061197 0.000338
0.082166 0.059155 0.000322
0.084400 0.057159 0.000317
0.086699 0.054734 0.000303
0.089065 0.052534 0.000298
0.091496 0.050313 0.000284
0.093993 0.047852 0.000290
0.096556 0.045542 0.000274
0.099184 0.043635 0.000265
0.101878 0.041476 0.000253
0.104703 0.039057 0.000248
0.107594 0.036995 0.000265
0.110551 0.034753 0.000252
0.113574 0.032738 0.000237
0.116662 0.030719 0.000222
0.119882 0.028714 0.000209
0.123233 0.026771 0.000201
0.126649 0.024971 0.000196
0.130132 0.023148 0.000189
0.133746 0.021473 0.000182
0.137491 0.019815 0.000175
0.141368 0.018284 0.000168
0.145310 0.016722 0.000165
0.149318 0.015397 0.000160
0.153458 0.014097 0.000155
0.157729 0.012897 0.000150
0.162131 0.011753 0.000145
0.166665 0.010764 0.000140
0.171330 0.009838 0.000136
0.176127 0.008961 0.000133
0.181055 0.008205 0.000139
0.186180 0.007538 0.000132
0.191502 0.006858 0.000123
0.196956 0.006293 0.000119
0.202541 0.005801 0.000116
0.208257 0.005373 0.000113
0.214171 0.004992 0.000109
0.220282 0.004671 0.000106
0.226590 0.004423 0.000102
0.233095 0.004156 0.000104
0.239731 0.003964 0.000109
0.246565 0.003833 0.000110
0.253661 0.003703 0.000116
0.260954 0.003627 0.000133
0.268445 0.003532 0.000142
0.276198 0.003496 0.000150
0.284149 0.003317 0.000162
0.292297 0.003438 0.000174
0.300707 0.003286 0.000185
0.309381 0.003287 0.000207
0.318317 0.003197 0.000240
0.327516 0.003199 0.000301
0.336123 0.002905 0.000499
