# Rebinned data: 467465_SMA_1p5prc_RB.dat
# Original data: 467465_SMA_1p5prc.dat
# q I dI
0.008574 0.101498 0.004382
0.008771 0.098991 0.003001
0.009034 0.101240 0.002919
0.009297 0.099540 0.002884
0.009559 0.099272 0.002806
0.009822 0.100345 0.002722
0.010085 0.099241 0.002653
0.010348 0.099520 0.002580
0.010611 0.098581 0.002511
0.010874 0.099499 0.002448
0.011136 0.098888 0.002356
0.011399 0.098332 0.002277
0.011662 0.098469 0.002241
0.011925 0.098923 0.002171
0.012188 0.099132 0.002166
0.012451 0.098003 0.002122
0.012713 0.098377 0.002062
0.012976 0.098947 0.001981
0.013239 0.097640 0.001947
0.013502 0.098123 0.001910
0.013765 0.097878 0.001895
0.014028 0.098358 0.001846
0.014290 0.097187 0.001832
0.014553 0.097667 0.001808
0.014882 0.097061 0.001447
0.015276 0.097024 0.001422
0.015670 0.097212 0.001394
0.016064 0.096870 0.001375
0.016459 0.096088 0.001350
0.016853 0.096911 0.001329
0.017247 0.095790 0.001310
0.017641 0.096386 0.001290
0.018036 0.095787 0.001273
0.018430 0.095910 0.001258
0.018824 0.096426 0.001245
0.019218 0.095440 0.001225
0.019613 0.095834 0.001212
0.020007 0.095129 0.001193
0.020467 0.095127 0.001020
0.020992 0.094597 0.001003
0.021518 0.094145 0.000987
0.022044 0.094322 0.000975
0.022569 0.093945 0.000962
0.023095 0.094069 0.000951
0.023621 0.093271 0.000936
0.024146 0.093076 0.000923
0.024672 0.092587 0.000914
0.025263 0.092091 0.000804
0.025920 0.092115 0.000794
0.026578 0.092018 0.000781
0.027235 0.091675 0.000770
0.027892 0.091161 0.000760
0.028549 0.090641 0.000749
0.029206 0.090045 0.000738
0.029863 0.089879 0.000729
0.030586 0.088942 0.000669
0.031374 0.088746 0.000675
0.032163 0.088103 0.000674
0.032951 0.087686 0.000673
0.033740 0.087192 0.000670
0.034528 0.086515 0.000667
0.035382 0.086116 0.000605
0.036302 0.085234 0.000582
0.037222 0.084802 0.000567
0.038142 0.084146 0.000556
0.039062 0.083320 0.000551
0.040047 0.082578 0.000518
0.041099 0.081843 0.000513
0.042150 0.080896 0.000511
0.043201 0.080266 0.000507
0.044253 0.079387 0.000504
0.045370 0.078275 0.000475
0.046552 0.077394 0.000488
0.047735 0.076467 0.000496
0.048918 0.075726 0.000499
0.050166 0.074366 0.000475
0.051481 0.073662 0.000478
0.052795 0.072372 0.000479
0.054175 0.071365 0.000457
0.055620 0.070077 0.000454
0.057066 0.069058 0.000450
0.058511 0.067640 0.000449
0.060022 0.066484 0.000428
0.061599 0.065040 0.000424
0.063176 0.063920 0.000420
0.064819 0.062181 0.000398
0.066527 0.060716 0.000394
0.068302 0.059317 0.000375
0.070141 0.057556 0.000369
0.071981 0.056171 0.000365
0.073887 0.054465 0.000347
0.075858 0.052793 0.000342
0.077895 0.050973 0.000327
0.079997 0.049392 0.000322
0.082166 0.047628 0.000307
0.084400 0.045936 0.000302
0.086699 0.044007 0.000289
0.089065 0.042114 0.000284
0.091496 0.040329 0.000272
0.093993 0.038316 0.000278
0.096556 0.036607 0.000263
0.099184 0.034879 0.000255
0.101878 0.033022 0.000244
0.104703 0.031380 0.000239
0.107594 0.029532 0.000256
0.110551 0.028001 0.000244
0.113574 0.026308 0.000230
0.116662 0.024603 0.000215
0.119882 0.023085 0.000204
0.123233 0.021469 0.000196
0.126649 0.020031 0.000192
0.130132 0.018582 0.000185
0.133746 0.017311 0.000178
0.137491 0.015977 0.000172
0.141368 0.014702 0.000166
0.145310 0.013499 0.000163
0.149318 0.012416 0.000158
0.153458 0.011432 0.000153
0.157729 0.010437 0.000148
0.162131 0.009535 0.000144
0.166665 0.008662 0.000139
0.171330 0.007960 0.000135
0.176127 0.007265 0.000132
0.181055 0.006673 0.000138
0.186180 0.006118 0.000132
0.191502 0.005609 0.000122
0.196956 0.005185 0.000119
0.202541 0.004749 0.000115
0.208257 0.004402 0.000112
0.214171 0.004060 0.000108
0.220282 0.003801 0.000105
0.226590 0.003621 0.000102
0.233095 0.003417 0.000103
0.239731 0.003285 0.000109
0.246565 0.003145 0.000109
0.253661 0.003018 0.000115
0.260954 0.002971 0.000133
0.268445 0.002860 0.000141
0.276198 0.002872 0.000150
0.284149 0.002702 0.000162
0.292297 0.002779 0.000174
0.300707 0.002607 0.000185
0.309381 0.002611 0.000207
0.318317 0.002625 0.000240
0.327516 0.002649 0.000301
0.336123 0.002407 0.000499
